10.3979 | 10.867 | 0.469083
20.9201 | 21.349 | 0.428917
31.0653 | 31.398 | 0.33275
41.646 | 42.167 | 0.521
#45.3239 | 46.7002 | 1.3764
56.9281 | 57.208 | 0.279833
65.5674 | 66.023 | 0.455562
75.7423 | 76.0121 | 0.269771
84.7984 | 85.2038 | 0.405333
94.6717 | 95.1711 | 0.499396
104.749 | 105.119 | 0.370292
114.859 | 115.313 | 0.454146
124.327 | 124.752 | 0.424792
134.645 | 134.857 | 0.212792
143.458 | 143.958 | 0.499562
152.923 | 153.194 | 0.270396
162.298 | 162.893 | 0.595208
172.871 | 173.112 | 0.241521
181.463 | 182.002 | 0.538896
191.042 | 191.433 | 0.391667
200.757 | 200.977 | 0.219125
210.3 | 210.807 | 0.506937
ilence_start: 219.825 | 220.054 | 0.229042
229.741 | 230.236 | 0.495333
239.391 | 240.151 | 0.760708
249.312 | 249.751 | 0.439229
258.942 | 259.428 | 0.485833
268.628 | 268.981 | 0.353729
278.566 | 278.999 | 0.432792
287.502 | 290.577 | 3.07529

301.855 | 302.372 | 0.516896
311.963 | 312.468 | 0.505312
321.38 | 321.607 | 0.226813
330.037 | 330.791 | 0.754708
338.822 | 339.334 | 0.511583
348.55 | 349.124 | 0.574292
357.864 | 360.856 | 2.99154

371.393 | 371.901 | 0.508604
380.712 | 381.141 | 0.429208
389.319 | 390.055 | 0.736292
400.207 | 400.581 | 0.373646
410.24 | 410.739 | 0.498937
419.31 | 421.605 | 2.29479
#424.414 | 426.23 | 1.81548
434.976 | 435.501 | 0.52525
ilence_start: 444.652 | 445.231 | 0.578729
464.757 | 466.287 | 1.52908
#467.354 | 468.453 | 1.09835
476.661 | 476.937 | 0.275813
485.589 | 486.121 | 0.532375
494.875 | 495.522 | 0.647417
504.639 | 507.244 | 2.60562
#510.041 | 511.838 | 1.79702
520.581 | 521.033 | 0.451833
529.838 | 530.425 | 0.587187
538.856 | 539.431 | 0.57525
548.399 | 549.104 | 0.705062
557.93 | 558.367 | 0.436958
567.146 | 567.602 | 0.455792
576.606 | 577.225 | 0.618854
585.666 | 586.279 | 0.612979
595.329 | 595.848 | 0.519312
604.653 | 605.227 | 0.573604
614.326 | 616.964 | 2.63777
#618.336 | 619.938 | 1.60131
628.23 | 628.713 | 0.48325
636.322 | 637.068 | 0.746375
645.376 | 646.098 | 0.721313
654.114 | 654.667 | 0.553042
662.82 | 663.272 | 0.452187
671.578 | 672.022 | 0.444125
680.163 | 680.695 | 0.531813
689.214 | 689.598 | 0.38325
697.594 | 698.049 | 0.454521
706.073 | 706.49 | 0.417271
714.549 | 714.948 | 0.399583
723.263 | 723.624 | 0.361
732.107 | 732.501 | 0.393875
740.697 | 741.292 | 0.59525
749.412 | 749.839 | 0.426667
758.418 | 760.58 | 2.16227
#760.889 | 761.976 | 1.08785
769.433 | 769.82 | 0.387375
777.578 | 778.007 | 0.428958
785.793 | 786.207 | 0.414687
794.308 | 794.794 | 0.485771
802.882 | 803.416 | 0.534333
811.557 | 812.105 | 0.547417
820.236 | 820.704 | 0.468479
828.847 | 829.257 | 0.410021
837.052 | 837.488 | 0.435458
845.498 | 845.788 | 0.289833

#866.984 | 868.449 | 1.46448
876.607 | 877.079 | 0.471896
884.915 | 885.21 | 0.294979
892.949 | 893.396 | 0.447042
901.001 | 901.346 | 0.345146
909.6 | 910.073 | 0.473146

934.365 | 934.657 | 0.291792
942.134 | 942.524 | 0.389708
950.031 | 950.297 | 0.266062
957.724 | 958.027 | 0.302417
965.54 | 965.971 | 0.431646
974.158 | 974.628 | 0.46975
#985.368 | 986.078 | 0.709688
993.862 | 994.237 | 0.374104
1001.38 | 1002.66 | 1.28485
1010.54 | 1011.87 | 1.32742
#1012.03 | 1012.74 | 0.709917
1020.85 | 1021.27 | 0.428687
1028.51 | 1029.4 | 0.893542

1045.01 | 1045.92 | 0.912792
1054.12 | 1054.39 | 0.273583
1062.58 | 1062.89 | 0.305458
1070.17 | 1071.03 | 0.85775
